美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
東口本宮冨士浅間神社,静岡県駿東郡小山町須走126番地
井伊谷宮,静岡県浜松市北区引佐町井伊谷1991-1
伊豆山神社,静岡県熱海市伊豆山上野地708-1
須倍神社,静岡県浜松市北区都田町6284
社宮神社,静岡県浜松市北区都田町7029
府八幡宮,静岡県磐田市中泉112-1
静岡浅間神社,静岡県静岡市葵区宮ヶ崎町102-1
熊野神社 (掛川市),静岡県掛川市大渕14290
三熊野神社 (掛川市),静岡県掛川市西大渕5631-1
静岡浅間神社,静岡県静岡市葵区宮ヶ崎町102-1
秋葉山本宮秋葉神社,静岡県浜松市天竜区春野町領家841
高天神社,静岡県掛川市下土方嶺向2650
五社神社・諏訪神社,静岡県浜松市中区利町302-5
小笠神社,静岡県掛川市入山瀬852番地
雲見浅間神社,静岡県賀茂郡松崎町雲見386-2
石室神社,静岡県賀茂郡南伊豆町石廊崎125
駒形神社,静岡県御前崎市御前崎937-1
白羽神社,静岡県御前崎市白羽3511番地
伊古奈比咩命神社/白浜神社,静岡県下田市白浜2740
割狐塚稲荷神社,静岡県駿東郡長泉町下土狩663
岐佐神社,静岡県浜松市西区舞阪町舞阪1973
貴船神社,静岡県磐田市掛塚926-1
三社神社,静岡県浜松市中区和合町1103
浅間神社,静岡県榛原郡川根本町徳山2893
対面石八幡神社,静岡県駿東郡清水町八幡39
大窪神社,静岡県浜松市西区大久保町3832-1
大歳神社,静岡県浜松市東区天王町1484-1
飯室乃神社,静岡県牧之原市細江3538
富知六所浅間神社,静岡県富士市浅間本町5-1
片岡神社/住吉神社,静岡県榛原郡吉田町住吉2212-1
水神社（静岡市）,静岡県静岡市清水区富士見町1-2
八坂神社（三島市）,静岡県三島市中央町2-27
矢奈比賣神社（見付天神）,静岡県磐田市見付1114-2
縣居神社,静岡県浜松市中区東伊場1丁目22-1
日枝神社/修善寺,静岡県伊豆市修善寺825
横瀬八幡神社,静岡県伊豆市修善寺305付近
拳張神社,静岡県掛川市南2-24-11
御胎内神社,静岡県御殿場市印野1362-1（御胎内清宏園内）
浅間神社,静岡県三島市芝本町6-3
楊原神社,静岡県三島市北田町4-7
三嶋大社,静岡県三島市大宮町二丁目1番5号
富士山本宮浅間大社,静岡県富士宮市宮町1-1
小国神社,静岡県周智郡森町一宮3956-1
伊勢神宮・皇大神宮（内宮）,三重県伊勢市宇治館町1
伊勢神宮・豊受大神宮（外宮）,三重県伊勢市豊川町279
豊受大神宮別宮 多賀宮,三重県伊勢市豊川町
豊受大神宮別宮　土宮,三重県伊勢市豊川町
豊受大神宮別宮　風宮,三重県伊勢市豊川町
松阪神社,三重県松阪市殿町1445番地
皇大神宮別宮 月読宮,三重県伊勢市中村町742-1
金刀比羅宮鳥羽分社,三重県鳥羽市鳥羽2-12-20
桑名宗社,三重県桑名市本町46番地
豊受大神宮別宮 月夜見宮,三重県伊勢市宮後1丁目
春日神社 (いなべ市),三重県いなべ市藤原町下野尻字炭焼951
三重県護国神社,三重県津市広明町387
猿田彦神社,三重県伊勢市宇治浦田2-1-10
諏訪神社 (四日市市),三重県四日市市諏訪栄町22-38
多度大社,三重県桑名市多度町多度1681
松葉山天満宮,三重県熊野市木本町
松阪神社,三重県松阪市殿町1445番地
豊受大神宮別宮 月夜見宮,三重県伊勢市宮後1丁目
都波岐神社・奈加等神社,三重県鈴鹿市一ノ宮町1174
伊射波神社,三重県鳥羽市安楽島町字加布良古1210
敢國神社,三重県伊賀市一之宮877
椿大神社,三重県鈴鹿市山本町字御旅1871
皇大神宮別宮 伊雑宮,三重県志摩市磯部町上之郷374
皇大神宮別宮 倭姫宮,三重県伊勢市楠部町5
皇大神宮別宮　荒祭宮,三重県伊勢市宇治館町
皇大神宮別宮 瀧原宮,三重県度会郡大紀町滝原872番地
皇大神宮別宮　風日祈宮,三重県伊勢市宇治館町
大津神社（伊勢市）,三重県伊勢市豊川町279
狭野神社 (能美市),石川県能美市佐野町ノ-88-2
白鳥神社 (津幡町),石川県河北郡津幡町加賀爪ヌ1
菅生石部神社,石川県加賀市大聖寺敷地ル乙81
大地主神社,石川県七尾市山王町1-13
豊国神社 (金沢市),石川県金沢市東御影町93
尾山神社,石川県金沢市尾山町１１−１
尾崎神社,石川県金沢市丸の内5-5
石川護国神社,石川県金沢市石引4-18-1
白山比咩神社,石川県白山市三宮町ニ105-1
気多大社,石川県羽咋市寺家町ク1
気多神社（高岡市）,富山県高岡市伏木一宮1-10-1
白鳥神社 (富山市),富山県富山市八尾町三田1894
加茂神社 (射水市),富山県射水市加茂中部630
富山縣護國神社,富山県富山市磯部町1-1
日枝神社 (富山市),富山県富山市山王町4-12
於保多神社,富山県富山市於保多町1-32
鵜坂神社,富山県富山市婦中町鵜坂212
諏訪神社 (魚津市),富山県魚津市諏訪町1-16
春日神社 (高岡市戸出春日),富山県高岡市戸出春日452番地
杉原神社,富山県富山市八尾町黒田３９２８番地
多久比禮志神社,富山県富山市塩690
八心大市比古神社/三島神社,富山県黒部市三日市３１８５
射水神社,富山県高岡市古城1-1
雄山神社　峰本社,富山県中新川郡立山町立山峰1番地（雄山頂上）
高瀬神社,富山県南砺市高瀬291
雄山神社　前立社壇,富山県中新川郡立山町岩峅寺1番地
雄山神社　中宮祈願殿,富山県中新川郡立山町芦峅寺2番地
福井県護国神社,福井県福井市大宮2-13-18
白石神社,福井県小浜市下根来
藤島神社,福井県福井市毛矢3-8-21
金崎宮,福井県敦賀市金ヶ崎町1-4
劔神社,福井県丹生郡越前町織田113-1
福井神社,福井県福井市大手3-16-1
弁財天白龍王大権現,福井県吉田郡永平寺町竹原31-9
若狭彦神社下社/若狭姫神社,福井県小浜市遠敷65-41
若狭彦神社上社/若狭彦神社,福井県小浜市龍前28-7
氣比神宮,福井県敦賀市曙町11-68
伯太神社,大阪府和泉市伯太町６１６
住吉神社（豊中市長興寺）,大阪府豊中市長興寺北２－３－４３
厳島神社,大阪府枚方市尊延寺５－９－１１
機物神社,大阪府交野市倉治１－１－７
白山神社(高槻市),大阪府高槻市霊仙寺町１１８１
熱田神社,大阪府寝屋川市太秦中町４－１３
打上神社,大阪府寝屋川市打上元町３８－１
波牟許曽神社,大阪府東大阪市長瀬町１－１０－９
原田神社,大阪府豊中市中桜塚１－２－１８
菅原神社(門真市),大阪府門真市大字下馬伏２５５
天満宮(大阪市),大阪府大阪市港区三先１－５－４０
天神社 (大阪市福島区),大阪府大阪市福島区玉川1丁目4-5
積川神社,大阪府岸和田市積川町350
道明寺天満宮,大阪府藤井寺市道明寺1-16-40
屯倉神社,大阪府松原市三宅中四丁目1-8
淀川天神社,大阪府大阪市北区国分寺1丁目4-1
萩原神社,大阪府堺市東区日置荘原寺町75-15
菅生神社 (堺市),大阪府堺市美原区菅生178-1
服部天神宮,大阪府豊中市服部元町1丁目2-17
蹉跎神社/蹉跎天満宮/蹉跎山天満宮,大阪府枚方市南中振1-7-18
壺井八幡宮,大阪府羽曳野市壺井605-2
安居神社 (大阪市)/安居天満宮,大阪府大阪市天王寺区逢阪1-3-24
菅原天満宮 (大阪市),大阪府大阪市東淀川区菅原2-3-27
天神ノ森天満宮,大阪府大阪市西成区岸里東2-3-19
露天神社,大阪府大阪市北区曽根崎2-5-4
春日神社 (田尻町),大阪府泉南郡田尻町吉見９５２
呉服神社,大阪府池田市室町7-4
大阪護國神社,大阪府大阪市住之江区南加賀屋1丁目1-77
泉穴師神社,大阪府泉大津市豊中町1-1-1
出雲大社大阪分祠,大阪府堺市東区日置荘西町7丁1-1
今宮戎神社,大阪府大阪市浪速区恵美須西1丁目6-10
春日神社 (茨木市清水),大阪府茨木市清水2丁目10-1
倍賀春日神社,大阪府茨木市春日5-6-1
生國魂神社,大阪府大阪市天王寺区生玉町13-9
石津神社,大阪府堺市堺区石津町1丁15-21
諏訪神社 (大阪市),大阪府大阪市城東区諏訪二丁目15-16
高石神社,大阪府高石市高師浜4-1-19
建水分神社,大阪府南河内郡千早赤阪村大字水分357番地
方違神社,大阪府堺市堺区北三国ヶ丘町2-2-1
日部神社,大阪府堺市西区草部262
百舌鳥八幡宮,大阪府堺市北区百舌鳥赤畑町5-706
錦織神社,大阪府富田林市宮甲田町9−46
豊國神社 (大阪市),大阪府大阪市中央区大阪城2番1号
開口神社,大阪府堺市堺区甲斐町東2丁1-29
飛鳥戸神社,大阪府羽曳野市飛鳥1023
百舌鳥八幡宮,大阪府堺市北区百舌鳥赤畑町5-706
舊府神社,大阪府和泉市尾井町198
廣田神社（大阪市）,大阪府大阪市浪速区日本橋西2-4-14
大阪天満宮,大阪府大阪市北区天神橋２丁目１番８号
日根神社,大阪府泉佐野市日根野631-1
阿部野神社,大阪府大阪市阿倍野区北畠3-7-20
石津太神社,大阪府堺市西区浜寺石津町中4丁12-7
深居神社,大阪府松原市小川１４７
大歳神社（茨木市）,大阪府茨木市大字大岩１７３
春日神社 (大阪市福島区),大阪府大阪市福島区玉川2丁目2-7
春日神社 (大阪市東淀川区),大阪府大阪市東淀川区上新庄2丁目20-15
聖神社 (和泉市),大阪府和泉市王子町919
小松神社 (交野市)/星田妙見宮,大阪府交野市星田9-60-1
星田神社,大阪府交野市星田2-5-14
杭全神社,大阪府大阪市平野区平野宮町2-1-67
大津神社（羽曳野市）,大阪府羽曳野市高鷲8-1-2
白鳥神社 (羽曳野市),大阪府羽曳野市古市一丁目1-18
綱敷天神社,大阪府大阪市北区神山町9-11
菅原神社 (堺市),大阪府堺市堺区戎之町東2丁1-38
春日神社 (豊中市宮山町),大阪府豊中市宮山町1-10-1
石津太神社,大阪府堺市西区浜寺石津町中4丁12-7
美具久留御魂神社,大阪府富田林市宮町3丁目2053
石切剣箭神社,大阪府東大阪市東石切町１丁目１－１
瓢箪山稲荷神社,大阪府東大阪市瓢箪山町8-1
御霊神社 (大阪市),大阪府大阪市中央区淡路町4-4-3
上宮天満宮,大阪府高槻市天神町1-15-5
生根神社 (大阪市住吉区),大阪府大阪市住吉区住吉2丁目3-15
百済王神社,大阪府枚方市中宮西之町1-68
信太森葛葉稲荷神社,大阪府和泉市葛の葉町1丁目11番47号
千代田神社,大阪府河内長野市市町469
狭山神社,大阪府大阪狭山市半田1-223
四條畷神社,大阪府四條畷市南野二丁目18番1号
多治速比売神社,大阪府堺市南区宮山台2-3-1
玉祖神社 (八尾市),大阪府八尾市大字神立443番地
福島天満宮,大阪府大阪市福島区福島2-8-1
高瀬神社,大阪府守口市馬場町１－１－１１
日部神社,大阪府堺市西区草部262
百舌鳥八幡宮,大阪府堺市北区百舌鳥赤畑町5-706
蹉跎神社/蹉跎天満宮/蹉跎山天満宮,大阪府枚方市南中振1-7-18
道祖神社（茨木市豊川）,大阪府茨木市豊川１－２９－５
天神社(茨木市),大阪府茨木市野々宮２－１－８
豊國神社 (大阪市),大阪府大阪市中央区大阪城2番1号
稲荷神社(貝塚市),大阪府貝塚市森５２４
感田神社,大阪府貝塚市中９０５
龍間神社,大阪府大東市龍間８８８
皇大神宮（茨木市）,大阪府茨木市大字車作６１９－１
天満宮（茨木市大字上音羽）,大阪府茨木市大字上音羽６２８
稲荷神社（茨木市大字水尾）,大阪府茨木市大字水尾３－３－９
龍間神社,大阪府大東市龍間８８８
素盞嗚尊神社（茨木市大字清阪）,大阪府茨木市大字清阪２０５－１
諏訪神社（茨木市大字生保）,大阪府茨木市大字生保１３８－５３
天満宮（茨木市大字千提寺）,大阪府茨木市大字千提寺３３４
素盞嗚尊神社（茨木市大字泉原）,大阪府茨木市大字泉原１２２８
諏訪神社（茨木市大字泉原）,大阪府茨木市大字泉原１２３－２
三社神社,大阪府大阪市港区磯路２－１８－２３
自凝島神社,兵庫県南あわじ市榎列下幡多415
伊弉諾神宮,兵庫県淡路市多賀740
天満神社 (宝塚市),兵庫県宝塚市山本西1-5-33
大塩天満宮,兵庫県姫路市大塩町汐咲一丁目50
宗佐厄神八幡神社,兵庫県加古川市八幡町野村580
兵庫縣姫路護國神社,兵庫県姫路市本町118
住吉神社 (明石市),兵庫県明石市魚住町中尾1031
清水神社 (明石市),兵庫県明石市魚住町清水886
伊和都比売神社,兵庫県赤穂市御崎2
廣畑（広畑）天満宮,兵庫県姫路市広畑区北野町2丁目3
住吉神社（宝塚市）,兵庫県宝塚市安倉中2-10-10
射楯兵主神社,兵庫県姫路市総社本町190
猪名野神社,兵庫県伊丹市宮ノ前3丁目6番1号
魚吹八幡神社,兵庫県姫路市網干区宮内193
御霊神社 (三田市),兵庫県三田市貴志字美内1100
清水神社 (明石市),兵庫県明石市魚住町清水886
松原八幡神社,兵庫県姫路市白浜町甲399
舞子六神社,兵庫県神戸市垂水区西舞子1-5-7
伊和都比売神社,兵庫県赤穂市御崎2
廣畑（広畑）天満宮,兵庫県姫路市広畑区北野町2丁目3
柏原八幡神社,兵庫県丹波市柏原町柏原3625
西宮神社,兵庫県西宮市社家町1番17号
長田神社,兵庫県神戸市長田区長田町3-1-1
天満神社 (稲美町),兵庫県加古郡稲美町国安539
海神社 (神戸市),兵庫県神戸市垂水区宮本町5-1
六条八幡神社,兵庫県神戸市北区山田町中字宮ノ片57
弓弦羽神社,兵庫県神戸市東灘区御影郡家2丁目9番27号
湊川神社,兵庫県神戸市中央区多聞通三丁目1番1号
御厨神社,兵庫県明石市二見町東二見1323
水尾神社（姫路市）,兵庫県姫路市山野井町1-3
松尾神社（宝塚市）,兵庫県宝塚市山本東1-9
赤穂大石神社,兵庫県赤穂市上仮屋１２９
生田神社,兵庫県神戸市中央区下山手通1丁目2-1
春日神社 (篠山市),兵庫県篠山市黒岡75
兵庫縣神戸護國神社,兵庫県神戸市灘区篠原北町4-5-1
神戸水天宮,兵庫県神戸市長田区長田天神町五丁目5-1
多田神社,兵庫県川西市多田院多田所町1-1
曽根天満宮,兵庫県高砂市曽根町2286-1
柳原天神社,兵庫県神戸市兵庫区東柳原町1-12
綱敷天満宮 (神戸市),兵庫県神戸市須磨区天神町2-1-11
生石神社,兵庫県高砂市阿弥陀町生石171
廣畑（広畑）天満宮,兵庫県姫路市広畑区北野町2丁目3
廣田神社(西宮市）,兵庫県西宮市大社町7番7号
粒坐天照神社,兵庫県たつの市龍野町日山449-1
津田天満神社,兵庫県姫路市飾磨区構912
兵主神社 (丹波市),兵庫県丹波市春日町黒井2956
売布神社 (宝塚市)/賣布神社,兵庫県宝塚市売布山手町1-1
御形神社,兵庫県宍粟市一宮町森添280
北野天満神社,兵庫県神戸市中央区北野町3丁目12
柿本神社,兵庫県明石市人丸町1-26
本住吉神社,兵庫県神戸市東灘区住吉宮町7丁目1-2
粟鹿神社,兵庫県朝来市東町粟鹿992
出石神社,兵庫県豊岡市出石町宮内99
伊和神社,兵庫県宍粟市一宮町須行名407
岡﨑神社,京都府京都市左京区岡崎東天王町51
伏見稲荷大社,京都府京都市伏見区深草藪之内町68
今宮神社,京都府京都市北区紫野今宮町21
出雲大神宮,京都府亀岡市千歳町千歳出雲無番地
御霊神社 (福知山市),京都府福知山市中ノ238
岩井稲荷神社,京都府福知山市長田240
静原神社,京都府京都市左京区静市静原町1351
天満宮（京都市右京区）,京都府京都市右京区京北塔町宮ノ谷28
三柱神社（福知山市上小田）,京都府福知山市上小田1231
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
吉備神社（福知山市）,京都府福知山市牧1477
武神社（福知山市）,京都府福知山市拝師2411
御霊神社 (福知山市),京都府福知山市西中ノ町238
月読神社 (京都市),京都府京都市西京区松室山添町15
愛宕神社 ,京都府亀岡市千歳町国分南山ノロ1
三柱神社（福知山市上小田）,京都府福知山市上小田1231
豊国神社 (京都市),京都府東山区大和大路正面茶屋町530
龍神社,京都府福知山市駒場新町1
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
錦天満宮,京都府京都市中京区新京極通四条上ル中之町537
晴明神社,京都府京都市上京区晴明町806番地1
宇治上神社,京都府宇治市宇治山田５９
武神社（福知山市）,京都府福知山市小牧25-3
下御霊神社,京都府京都市中京区寺町通丸太町下ル下御霊前町
北野天満宮,京都府京都市上京区馬喰町
三宅八幡宮,京都府京都市左京区上高野三宅町22
梨木神社,京都府京都市上京区寺町通広小路上ル染殿町680番地
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
豊国神社 (京都市),京都府東山区大和大路正面茶屋町530
八津良神社,京都府京都市右京区京北周山町城山28
貴船神社,京都府京都市左京区鞍馬貴船町180
大原野神社,京都府京都市西京区大原野南春日町1152
乃木神社 (京都市),京都府京都市伏見区桃山町板倉周防
松尾大社,京都府京都市西京区嵐山宮町3
龍神社,京都府福知山市駒場新町1
京都霊山護国神社,京都府京都市東山区清閑寺霊山町1
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
安井金比羅宮,京都府京都市東山区東町大路松原上る下弁天町70
野宮神社,京都府京都市右京区嵯峨野宮町
離宮八幡宮,京都府乙訓郡大山崎町大山崎西谷21-1
石清水八幡宮,京都府八幡市八幡高坊30
旦椋神社,京都府宇治市大久保町北の山１０９－１
上御霊神社,京都府京都市上京区上御霊前通烏丸東入上御霊竪町495
向日神社,京都府向日市向日町北山65
城南宮,京都府京都市伏見区中島鳥羽離宮町7
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
二ノ宮神社（福知山市）,京都府福知山市猪野々11
阿良須神社,京都府福知山市大江町北有路461
賀茂神社（福知山市）,京都府福知山市報恩寺林37
小田岡神社,京都府福知山市大江町千原34-3
三宮神社（福知山市）,京都府福知山市大江町波美591-3
四宮神社,京都府福知山市大江町河守139-1
内記稲荷神社,京都府福知山市内記32
首途八幡宮,京都府京都市上京区桜井町102-1
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
大森賀茂神社,京都府京都市北区大森東町1
綾戸國中神社,京都府京都市南区久世上久世町446
粟田神社,京都府京都市東山区粟田口鍛冶町1
高松神明神社,京都府京都市中京区津軽町790-1
貴船神社,京都府京都市左京区鞍馬貴船町180
安井金比羅宮,京都府京都市東山区下弁天町70
大豊神社,京都府京都市左京区鹿ケ谷宮ノ前町1
御辰稲荷神社,京都府京都市左京区聖護院円頓美町29-1
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
八神社,京都府京都京都市左京区銀閣寺町26
八坂神社（京都市東山区）,京都府京都市東山区祇園町北側625番地
五社神社（京都市西京区）,京都府京都市西京区下津林楠町103
桃山天満宮,京都府京都市伏見区御香宮門前町173
靏ケ尾神社,京都府福知山市大江町三河403-1
御香宮神社,京都府京都市伏見区御香宮門前町174
伏見神寳神社,京都府京都市伏見区深草笹山町15
花山稲荷神社,京都府京都市山科区西野山欠ノ上町65
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
西院還来神社,京都府京都市右京区西院春日町61
山王神社（京都市右京区）,京都府京都市右京区山ノ内宮脇町5
春日神社（京都市右京区）,京都府京都市右京区京北上黒田町森本20
白山神社（京都市右京区）,京都府京都市右京区京北田貫町宮ノ前1
熊野神社（福知山市）,京都府福知山市市寺1573
繁昌神社,京都府京都市下京区繁昌町308
豊受大神社,京都府福知山市大江町天田内60
天照玉命神社,京都府福知山市今安1497
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
大歳神社,京都府京都市西京区大原野灰方町575
大原神社（福知山市三和町）,京都府福知山市三和町大原191-1
朝日神社（京都市山科区）,京都府京都市山科区栗栖野華ノ木町4
児子神社,京都府京都市西京区大枝塚原町2-2
八幡神社（福知山市三和町）,京都府福知山市三和町田ノ谷336-1
八幡神社（福知山市）,京都府福知山市梅谷350-1
八幡神社（福知山市大江町）,京都府福知山市大江町市原谷5
天満神社（福知山市）,京都府福知山市上天津2089
吉田神社 (京都市),京都府京都市左京区吉田神楽岡町30
冨士神社（福知山市）,京都府福知山市大江町蓼原305-1
近江神宮,滋賀県大津市神宮町1-1
建部大社,滋賀県大津市神領一丁目16-1
勝部神社,滋賀県守山市勝部1-8-8
吉姫神社,滋賀県湖南市石部東８丁目４−１
御上神社,滋賀県野洲市三上838
白鳥神社 (東近江市種町),滋賀県東近江市種町1074
日雲神社,滋賀県甲賀市信楽町牧75
兵主大社,滋賀県野洲市五条566
水尾神社,滋賀県高島市拜戸716
雄琴神社(大津市),滋賀県大津市雄琴二丁目10-1
大皇器地祖神社,滋賀県東近江市永源寺町君ヶ畑977
大笹原神社,滋賀県野洲市大篠原2375
沙沙貴神社,滋賀県近江八幡市安土町常楽寺1番
阿志都弥神社・行過天満宮,滋賀県高島市今津町弘川宮の森公園内
油日神社,滋賀県甲賀市甲賀町油日1042
兵主大社,滋賀県野洲市五条566
筑摩神社 (米原市),滋賀県米原市朝妻筑摩1987
苗村神社,滋賀県蒲生郡竜王町大字綾戸467
水尾神社,滋賀県高島市拜戸716
雄琴神社(大津市),滋賀県大津市雄琴二丁目10-1
安閑神社,滋賀県高島市安曇川町三尾里362-2
大國主神社,滋賀県高島市新旭町饗庭619
伊香具神社,滋賀県長浜市木之本町大音688
滋賀縣護國神社,滋賀県彦根市尾末町1-59
坂田神明宮,滋賀県米原市近江町宇賀野835-2
須賀神社 (長浜市),滋賀県長浜市西浅井町管浦439
多賀大社,滋賀県犬上郡多賀町多賀604
日吉二宮神社,滋賀県高島市新旭町深溝1460-1
石作神社・玉作神社,滋賀県長浜市木之本町千田793
山津照神社,滋賀県米原市能登瀬390
吉御子神社,滋賀県湖南市石部西1-15-1
白山神社 (湖南市),滋賀県湖南市東寺5-1-11
白山神社 (高島市宮野),滋賀県高島市宮野362
大荒比古神社・鞆結神社,滋賀県高島市マキノ町浦627
日吉東照宮,滋賀県大津市坂本四丁目2-12
波爾布神社,滋賀県高島市新旭町饗庭3363
田村神社 (甲賀市),滋賀県甲賀市土山町北土山469
豊国神社 (長浜市),滋賀県長浜市南呉服町6-37
日吉大社,滋賀県大津市坂本5丁目1-1
波久奴神社,滋賀県長浜市高畑町296
上許曾神社,滋賀県長浜市高山町2
都久夫須麻神社・竹生島神社,滋賀県長浜市早崎町1665
還来神社,滋賀県大津市伊香立途中町518
佐久奈度神社,滋賀県大津市大石中一丁目2-1
鹽津神社（塩津神社）,滋賀県長浜市西浅井町塩津浜547
思子淵神社 (高島市安曇川町中野),滋賀県 高島市安曇川町中野564
唐崎神社,滋賀県大津市唐崎1-7-1
雄琴神社(大津市),滋賀県大津市雄琴二丁目10-1
春日大社,奈良県奈良市春日野町160
吉水神社,奈良県吉野郡吉野町吉野山
蔵之宮,奈良県大和高田市蔵之宮町13-7
佐紀神社,奈良県奈良市佐紀町1716
天岩戸神社（橿原市南浦町）,奈良県橿原市南浦町772
屋就神命神社,奈良県橿原市大垣町40
子安神社（天理市）,奈良県天理市遠田町16
八幡神社（橿原市大垣町）,奈良県橿原市大垣町302
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
春日神社（天理市遠田町）,奈良県天理市遠田町375
丹生川上神社（下社）,奈良県吉野郡下市町長谷1-1
高鴨神社,奈良県御所市鴨神1110
龍田大社,奈良県生駒郡三郷町立野南1-29-1
高天彦神社,奈良県御所市高天
龍田神社（生駒郡）,奈良県生駒郡斑鳩町龍田1-5-6
八幡神社（橿原市大垣町）,奈良県橿原市大垣町302
丹生川上神社（上社）,奈良県吉野郡川上村大字迫167
奈良県護国神社,奈良県奈良市古市町1984
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
丹生川上神社（中社）,奈良県吉野郡東吉野村小968
八咫烏神社,奈良県宇陀市榛原高塚42
金峯神社 (吉野町),奈良県吉野郡吉野町吉野山1768
吉野水分神社,奈良県吉野郡吉野町吉野山1612
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
往馬大社/往馬坐伊古麻都比古神社）,奈良県生駒市壱分町1527-1
漢國神社,奈良県奈良市漢国町6
廣瀬大社,奈良県北葛城郡河合町大字川合99
源九郎稲荷神社,奈良県大和郡山市洞泉寺町15
春日神社（天理市遠田町）,奈良県天理市遠田町375
八阪神社（天理市喜殿町）,奈良県天理市喜殿町272
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
杵築神社,奈良県大和郡山市山田町803
三十八神社（天理市藤井町）,奈良県天理市藤井町218
春日神社（天理市山田町）,奈良県天理市山田町2820
宅布世神社,奈良県奈良市鉢伏町62
厳島神社（天理市田町）,奈良県天理市田町111
伊勢降神社,奈良県天理市庵治町144
稲荷神社（天理市蔵之庄町）,奈良県天理市蔵之庄町
春日神社（天理市遠田町）,奈良県天理市遠田町375
菅原神社（天理市庵治町）,奈良県天理市庵治町20
三十八柱神社,奈良県天理市稲葉町162
御霊神社（天理市永原町）,奈良県天理市永原町79
市座神社,奈良県天理市丹波市町355
九頭神社（天理市苣原町）,奈良県天理市苣原町376
杵築神社（天理市上之庄町）,奈良県天理市二階堂上ノ庄町399-2
伊射奈岐神社（天理市）,奈良県天理市柳本町1899
春日神社（天理市庵治町）,奈良県天理市庵治町259
實正神社,奈良県天理市小島町99
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
春日神社（天理市遠田町）,奈良県天理市遠田町375
春日神社（天理市杉本町）,奈良県天理市杉本町329
石上市神社,奈良県天理市石上町255
山邉御縣座神社,奈良県天理市別所町726
森神社,奈良県天理市森本町178
三十八神社（天理市檜垣町）,奈良県天理市檜垣町94
白山神社（天理市守目堂町）,奈良県天理市守目堂町150
祝田神社,奈良県天理市田部町341
杵築神社（天理市南六条町）,奈良県天理市南六条町374
春日神社（天理市遠田町）,奈良県天理市遠田町375
春日神社（天理市内馬場町）,奈良県天理市内馬場町131
四社神社,奈良県天理市上仁興町211
御霊神社（天理市前栽町）,奈良県天理市前栽町163
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
八幡神社（天理市小路町）,奈良県天理市小路町261
三十八社神社,奈良県天理市合場町259
姫大神社,奈良県天理市森本町205
和爾坐赤阪比古神社,奈良県天理市和爾町1194
都祁山口神社（天理市）,奈良県天理市杣之内町896
春日神社（天理市遠田町）,奈良県天理市遠田町375
八幡神社（天理市櫟本町）,奈良県天理市櫟本町891
恵比須神社（天理市）,奈良県天理市森本町192
白山神社（天理市吉田町）,奈良県天理市吉田町231
春日神社（天理市指柳町）,奈良県天理市指柳町78
倭恩智神社,奈良県天理市海知町32
厳島神社（天理市布留町）,奈良県天理市布留町90
菅原神社（天理市嘉幡町）,奈良県天理市嘉幡町708
八幡神社（大和郡山市横田町）,奈良県大和郡山市横田町771
八坂神社（大和郡山市）,奈良県大和郡山市石川町526
春日神社（天理市遠田町）,奈良県天理市遠田町375
八幡神社（大和郡山市井戸野町）,奈良県大和郡山市井戸野町540
熊野神社（天理市平等坊町）,奈良県天理市平等坊町125
春日神社（天理市勾田町）,奈良県天理市勾田町325
豊日神社,奈良県天理市豊井町602
石上神社（天理市滝本町）,奈良県天理市滝本町483
高良神社（天理市）,奈良県天理市櫟本町1496
菅原神社（天理市小田中町）,奈良県天理市小田中町134
天皇神社,奈良県天理市備前町251
神明神社（天理市川原城町）,奈良県天理市川原城町221
春日神社（天理市遠田町）,奈良県天理市遠田町375
白山神社（天理市杣之内町）,奈良県天理市杣之内町202
勝手神社（天理市）,奈良県天理市荒蒔町194
素盞嗚神社（天理市）,奈良県天理市上総町161
八幡神社（大和郡山市外川町）,奈良県大和郡山市外川町282
八幡神社（大和郡山市観音寺町）,奈良県大和郡山市観音寺町178
天井八幡神社,奈良県大和郡山市天井町209
